Date,Mid Price
2004-12-07,18.025
2004-12-08,18.03
2004-12-09,17.99
2004-12-10,18.004
2004-12-13,18.009
2004-12-14,18.057
2004-12-15,18.081
2004-12-16,18.17
2004-12-17,18.121
2004-12-20,18.135
2004-12-21,18.218
2004-12-22,18.266
2004-12-23,18.346
2004-12-24,18.359
2004-12-27,18.381
2004-12-28,18.401
2004-12-29,18.404
2004-12-30,18.381
2004-12-31,18.387
2005-01-03,18.428
2005-01-04,18.451
2005-01-05,18.47
2005-01-06,18.533
2005-01-07,18.506
2005-01-10,18.526
2005-01-11,18.562
2005-01-12,18.567
2005-01-13,18.59
2005-01-14,18.637
2005-01-17,18.733
2005-01-18,18.809
2005-01-19,18.819
2005-01-20,18.875
2005-01-21,18.916
2005-01-24,18.91
2005-01-25,18.921
2005-01-26,18.92
2005-01-27,19.09
2005-01-28,19.257
2005-01-31,19.211
2005-02-01,19.213
2005-02-02,19.269
2005-02-03,19.221
2005-02-04,19.219
2005-02-09,19.234
2005-02-10,19.243
2005-02-11,19.234
2005-02-14,19.381
2005-02-15,19.41
2005-02-16,19.43
2005-02-17,19.302
2005-02-18,19.314
2005-02-21,19.316
2005-02-22,19.359
2005-02-23,19.372
2005-02-24,19.271
2005-02-25,19.296
2005-02-28,19.287
2005-03-01,19.336
2005-03-02,19.372
2005-03-03,19.303
2005-03-04,19.305
2005-03-07,19.3032
2005-03-08,19.3327
2005-03-09,19.3645
2005-03-10,19.3963
2005-03-11,19.3692
2005-03-14,19.4184
2005-03-15,19.4606
2005-03-16,19.4665
2005-03-17,19.6785
2005-03-18,19.7448
2005-03-21,19.8193
2005-03-22,19.7778
2005-03-23,19.8168
2005-03-24,19.7068
2005-03-28,19.6778
2005-03-29,19.6908
2005-03-30,19.6946
2005-03-31,19.6612
2005-04-01,19.7046
2005-04-04,19.724
2005-04-05,19.7513
2005-04-06,19.6817
2005-04-07,19.6573
2005-04-08,19.7657
2005-04-11,19.7938
2005-04-12,19.8144
2005-04-13,19.7757
2005-04-14,19.767
