Date,Open,High,Low,Close,Volume
2000-11-08,1650.73,1650.73,1650.73,1650.73,48890000.0
2000-11-09,1615.74,1615.74,1615.74,1615.74,47394000.0
2000-11-10,1592.28,1592.28,1592.28,1592.28,38543000.0
2000-11-13,1553.78,1553.78,1553.78,1553.78,52991000.0
2000-11-14,1597.97,1597.97,1597.97,1597.97,47072000.0
2000-11-15,1622.33,1622.33,1622.33,1622.33,41524000.0
2000-11-16,1619.51,1619.51,1619.51,1619.51,36888000.0
2000-11-17,1650.48,1650.48,1650.48,1650.48,38088000.0
2000-11-20,1657.28,1657.28,1657.28,1657.28,
2000-11-21,1625.18,1625.18,1625.18,1625.18,35523000.0
2000-11-22,1572.85,1572.85,1572.85,1572.85,40485000.0
2000-11-23,1587.85,1587.85,1587.85,1587.85,5275000.0
2000-11-24,1610.33,1610.33,1610.33,1610.33,24300000.0
2000-11-27,1606.56,1606.56,1606.56,1606.56,30161000.0
2000-11-28,1570.66,1570.66,1570.66,1570.66,33033000.0
2000-11-29,1564.52,1564.52,1564.52,1564.52,47028000.0
2000-11-30,1503.75,1503.75,1503.75,1503.75,49329000.0
2000-12-01,1501.44,1501.44,1501.44,1501.44,
2000-12-04,1467.72,1467.72,1467.72,1467.72,49888000.0
2000-12-05,1547.84,1547.84,1547.84,1547.84,54538000.0
2000-12-06,1542.89,1542.89,1542.89,1542.89,38515000.0
2000-12-07,1539.02,1539.02,1539.02,1539.02,31147000.0
2000-12-08,1547.39,1547.39,1547.39,1547.39,42319000.0
2000-12-11,1553.44,1553.44,1553.44,1553.44,35047000.0
2000-12-12,1547.38,1547.38,1547.38,1547.38,
2000-12-13,1527.95,1527.95,1527.95,1527.95,43300000.0
2000-12-14,1521.31,1521.31,1521.31,1521.31,40820000.0
2000-12-15,1494.58,1494.58,1494.58,1494.58,49930000.0
2000-12-18,1498.53,1498.53,1498.53,1498.53,44168000.0
2000-12-19,1485.9,1485.9,1485.9,1485.9,47124000.0
2000-12-20,1402.33,1402.33,1402.33,1402.33,43951000.0
2000-12-21,1409.25,1409.25,1409.25,1409.25,43443000.0
2000-12-22,1434.32,1434.32,1434.32,1434.32,37026000.0
2000-12-25,1434.32,1434.32,1434.32,1434.32,
2000-12-26,1446.35,1446.35,1446.35,1446.35,15061000.0
