Date,Open,High,Low,Close,Volume
2017-08-04,1911.97,1921.52,1897.25,1911.25,213991808.0
2017-08-07,1909.04,1943.78,1908.54,1937.26,268149104.0
2017-08-08,1934.7,1954.11,1928.5,1930.1,290633312.0
2017-08-09,1923.95,1923.95,1902.94,1919.92,218449904.0
2017-08-10,1913.14,1914.5,1876.97,1891.46,259290096.0
2017-08-11,1884.6,1906.31,1868.21,1894.17,266987600.0
2017-08-14,1873.02,1925.38,1869.82,1911.69,260972096.0
2017-08-15,1900.86,1921.6,1899.16,1901.72,255540608.0
2017-08-16,1918.98,1945.98,1917.69,1926.43,361117184.0
2017-08-17,1930.19,1930.19,1900.4,1913.08,237255296.0
2017-08-18,1914.8,1947.13,1905.61,1930.68,328124096.0
2017-08-21,1948.61,1957.38,1922.29,1941.99,246168000.0
2017-08-22,1934.77,1985.15,1934.71,1975.81,364822688.0
2017-08-23,1972.72,2001.69,1967.26,1985.84,296345888.0
2017-08-24,1999.55,2020.19,1995.08,2012.89,285271008.0
2017-08-25,2010.96,2019.99,1993.41,2009.54,211114592.0
2017-08-28,2004.41,2013.04,1992.55,2000.25,206706304.0
2017-08-29,1986.76,2003.32,1972.75,2000.5,214538208.0
2017-08-30,1999.04,2004.41,1983.37,1988.13,245484704.0
2017-08-31,1993.83,2009.17,1987.73,1997.82,412953984.0
2017-09-01,2005.56,2045.54,2005.18,2038.52,333288800.0
2017-09-04,2028.45,2040.09,2023.23,2036.72,152041104.0
2017-09-05,2049.93,2079.55,2035.55,2050.22,373167008.0
2017-09-06,2055.81,2101.19,2055.81,2087.26,390121984.0
2017-09-07,2098.54,2098.54,2098.54,2098.54,
2017-09-08,2103.2,2114.43,2089.3,2095.62,283750688.0
2017-09-11,2101.15,2142.18,2101.04,2136.09,297955584.0
2017-09-12,2108.6,2142.61,2106.73,2127.03,318462688.0
2017-09-13,2116.08,2126.88,2101.99,2114.43,287315200.0
2017-09-14,2113.49,2130.73,2096.96,2114.01,285717888.0
2017-09-15,2124.29,2161.52,2119.58,2148.47,474109088.0
2017-09-18,2157.31,2174.91,2143.93,2152.8,302109504.0
2017-09-19,2155.33,2158.74,2132.73,2150.94,260107200.0
2017-09-20,2151.4,2164.87,2123.87,2154.68,341008192.0
2017-09-21,2156.22,2161.6,2123.49,2133.59,290899296.0
2017-09-22,2138.32,2148.5,2123.85,2136.68,253383392.0
2017-09-25,2135.05,2138.7,2086.58,2098.72,267161200.0
2017-09-26,2092.42,2101.1,2077.4,2077.4,308718496.0
2017-09-27,2064.87,2075.5,2032.41,2051.19,317324992.0
