Date,Bid Price
2016-11-03,7.392
2016-11-04,7.369
2016-11-08,7.274
2016-11-09,7.293
2016-11-10,7.578
2016-11-11,7.58
2016-11-15,7.514
2016-11-16,7.507
2016-11-17,7.511
2016-11-18,7.547
2016-11-21,7.707
2016-11-22,7.705
2016-11-24,7.536
2016-11-29,7.296
2016-11-30,7.295
2016-12-01,7.41
2016-12-02,7.392
2016-12-05,7.365
2016-12-07,7.238
2016-12-09,7.273
2016-12-12,7.283
2016-12-14,7.297
2016-12-15,7.314
2016-12-16,7.359
2016-12-19,7.22
2016-12-20,7.197
2016-12-21,7.119
2016-12-22,7.116
2016-12-23,7.119
2016-12-27,7.089
2016-12-28,7.109
2016-12-29,7.108
2017-01-03,7.102
2017-01-04,7.092
2017-01-05,6.946
2017-01-06,6.946
2017-01-10,6.82
2017-01-11,6.783
2017-01-12,6.768
2017-01-13,6.838
2017-01-17,6.845
2017-01-18,6.88
2017-01-20,6.939
2017-01-23,6.843
2017-01-24,6.87
2017-01-25,6.785
2017-01-26,6.772
2017-01-27,6.787
2017-01-31,6.852
2017-02-01,6.847
2017-02-02,6.793
2017-02-03,6.778
2017-02-06,6.766
2017-02-07,6.739
2017-02-08,6.701
2017-02-09,6.706
2017-02-10,6.693
2017-02-13,6.714
2017-02-14,6.836
2017-02-15,6.832
2017-02-16,6.86
2017-02-17,7.031
2017-02-20,7.085
2017-02-21,7.016
2017-02-22,7.011
2017-02-23,6.979
2017-02-24,6.956
2017-02-27,6.923
2017-02-28,7.005
2017-03-01,7.094
2017-03-02,7.114
2017-03-03,7.122
2017-03-06,7.068
2017-03-07,7.131
2017-03-08,7.14
2017-03-09,7.141
2017-03-10,7.092
2017-03-13,7.057
2017-03-14,7.035
2017-03-15,6.954
2017-03-16,6.899
2017-03-17,6.84
2017-03-21,6.815
2017-03-22,6.812
2017-03-23,6.801
2017-03-24,6.679
2017-03-27,6.715
2017-03-28,6.711
2017-03-29,6.682
2017-03-30,6.688
2017-03-31,6.654
2017-04-03,6.595
2017-04-04,6.58
2017-04-05,6.555
2017-04-06,6.55
2017-04-07,6.593
2017-04-10,6.604
2017-04-11,6.624
2017-04-17,6.62
2017-04-18,6.569
2017-04-19,6.381
2017-04-20,6.373
2017-04-21,6.353
2017-04-24,6.352
2017-04-25,6.337
2017-04-26,6.308
2017-04-27,6.218
2017-04-28,6.213
2017-05-02,6.146
2017-05-03,6.167
2017-05-04,6.22
2017-05-05,6.161
2017-05-08,6.192
2017-05-09,6.234
2017-05-10,6.292
2017-05-11,6.322
2017-05-12,6.308
2017-05-15,6.352
2017-05-16,6.344
2017-05-17,6.339
2017-05-18,6.329
2017-05-19,6.315
2017-05-22,6.307
2017-05-23,6.299
2017-05-24,6.33
2017-05-25,6.352
2017-05-26,6.33
2017-05-30,6.301
2017-05-31,6.234
2017-06-01,6.202
2017-06-02,6.174
2017-06-05,6.15
2017-06-06,6.12
2017-06-07,6.134
2017-06-08,6.169
2017-06-09,6.218
2017-06-12,6.232
2017-06-13,6.239
2017-06-14,6.279
2017-06-15,6.327
2017-06-16,6.423
2017-06-20,6.528
2017-06-21,6.522
2017-06-22,6.486
2017-06-23,6.473
2017-06-27,6.396
2017-06-28,6.414
2017-06-30,6.421
2017-07-04,6.536
2017-07-05,6.719
2017-07-06,6.801
2017-07-07,6.753
2017-07-10,6.726
2017-07-11,6.764
2017-07-12,6.787
2017-07-13,6.721
2017-07-14,6.621
2017-07-17,6.632
2017-07-18,6.671
2017-07-19,6.663
2017-07-21,6.701
2017-07-24,6.764
2017-07-25,6.806
2017-07-26,6.972
2017-07-27,6.957
2017-07-28,6.835
2017-07-31,6.816
2017-08-01,6.818
2017-08-02,6.905
2017-08-03,6.904
2017-08-04,6.926
2017-08-08,6.905
2017-08-09,6.789
2017-08-10,6.792
2017-08-11,6.748
2017-08-14,6.729
2017-08-15,6.738
2017-08-16,6.73
2017-08-17,6.734
2017-08-22,6.768
2017-08-23,6.769
2017-08-24,6.728
2017-08-25,6.724
2017-08-29,6.753
2017-08-30,6.744
2017-08-31,6.729
2017-09-01,6.739
2017-09-04,6.751
2017-09-05,6.748
2017-09-06,6.725
2017-09-07,6.658
2017-09-08,6.623
2017-09-11,6.588
2017-09-12,6.559
2017-09-13,6.549
2017-09-14,6.543
2017-09-15,6.483
2017-09-18,6.491
2017-09-19,6.491
2017-09-20,6.491
2017-09-21,6.53
2017-09-22,6.522
2017-09-25,6.519
2017-09-26,6.53
2017-09-27,6.569
2017-09-28,6.594
